"Generated_ID","Gender","Ethnicity","school","class_year","AVID","EL","SPED","Starr_Hill_24","total_score","total_percentile","SE_subscore","SE_percentile","OE_subscore","OE_percentile","SE1","SE2","SE3","SE4","SE5","SE6","SE7","SE8","SE9","SE10","SE11","OE1","OE2","OE3","OE4","OE5","OE6","OE7","OE8","OE9","OE10","Occupation_1","Occupation_2","Occupation_3"
"E10646E0","M","MR","School E",2029,"No","No","Yes","No",75,34.839999999999996,39,29.99,36,45.01,3,3,4,5,4,4,2,4,4,4,2,4,4,5,4,4,2,3,2,4,4,"NBA","NFL","Teacher"
"A51B9884","M","WH","School F",2029,"No","No","Yes","No",76,38.87,41,45.56,35,36.480000000000004,4,4,4,4,3,3,3,4,3,4,5,1,3,3,5,3,3,3,5,5,4,"Im not sure","Im not sure","Im not sure"
"A163082B","M","HL","School B",2029,"No","No","No","Yes",,,,,,,4,3,4,4,4,3,,,,,,,,,,,,,,,,,,
"D800FCB9","F","BL","School F",2029,"No","No","No","No",79,52.35999999999999,41,45.56,38,59.08,4,3,4,4,4,4,4,4,4,4,2,4,4,2,4,4,4,4,4,4,4,"a doctor or nurse","lawyer","idk"
"5D592177","F","BL","School F",2029,"Yes","No","No","No",,,,,31,16.02,4,,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,".","p","o"
"2A93D4AC","F","BL","School F",2029,"No","No","Yes","No",85,78.44,46,82.50999999999999,39,65.12,4,3,4,4,3,5,3,5,5,5,5,3,5,3,5,4,3,3,4,4,5,"Ultrasound tech","Cosmatic person","Idk"
"51FC85C6","M","HL","School D",2029,"No","Yes","No","No",76,38.87,44,72.13000000000001,32,19.900000000000002,4,4,5,4,3,4,5,5,4,4,2,3,4,3,4,2,2,4,2,4,4,"Welder","Mechanic.","Engineer."
"BCEFB559","M","HL","School D",2029,"No","Yes","No","No",86,80.39,46,82.50999999999999,40,77.46,4,4,5,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,"nice","kind","oefujJFWIOjfe8"
"3EC526B9","F","BL","School B",2029,"No","No","No","Yes",87,82.67999999999999,50,92.75999999999999,37,51.800000000000004,4,5,4,4,3,5,5,5,5,5,5,3,4,3,3,5,4,3,3,4,5,"A nurse in the army","A nurse","A homewife"
"9A48F029","M","MR","School E",2030,"No","No","No","No",62,5.08,33,7.31,29,6.17,4,1,4,1,4,1,5,4,1,4,4,3,5,4,3,4,1,1,1,3,4,"no idea","still no idea","i DONT know bro"
"14CDAE35","F","HL","School E",2029,"Yes","No","No","No",74,30.53,40,36.95,34,30.03,3,2,4,4,4,3,4,4,4,4,4,4,4,4,4,4,3,3,2,2,4,"Nurse","Hair stylest","i dont know"
"66A45234","F","WH","School B",2029,"Yes","No","No","No",81,60.150000000000006,44,72.13000000000001,37,51.800000000000004,4,4,4,4,4,4,4,4,4,4,4,3,4,5,3,4,3,3,3,4,5,"Veterinarian (vet)","Farrier","Wild life helper/ work at SPCA (no kill shelter) where I can still work with animals"
"7E3247C5","M","WH","School E",2029,"No","No","No","No",72,23.919999999999998,41,45.56,31,16.02,5,3,4,3,5,3,3,5,3,5,2,3,3,3,4,5,1,1,1,5,5,"Enginner","doctor","pediatrician"
"765C10D4","F","BL","School D",2029,"No","No","Yes","No",88,84.77,43,62.019999999999996,45,93.13,2,5,4,4,2,5,4,4,4,4,5,4,5,4,4,5,4,5,5,4,5,"i don''t know","idk","idk"
"C6428325","M","HL","School D",2029,"No","Yes","Yes","No",72,23.919999999999998,38,24.45,34,30.03,3,4,3,4,3,4,3,4,3,3,4,3,4,4,4,3,3,3,3,4,3,"soccer playerr","construction worker","and mechanic"
"F86AEC8D","M","HL","School F",2029,"No","Yes","No","No",69,15.790000000000001,38,24.45,31,16.02,3,4,3,3,5,3,4,5,2,2,4,3,4,4,4,3,4,1,2,3,3,"Scientist, Work in a Blacksmith, or Engineer","Other 2 options","The last option"
"AF0A235D","F","HL","School F",2029,"No","No","No","No",95,93.60000000000001,48,88.92999999999999,47,95.7,4,4,4,5,5,5,5,4,4,5,3,5,5,5,4,5,5,4,4,5,5,"neonatal nurses","Teacher","office worker"
"6A3ACC47","M","BL","School D",2029,"No","No","Yes","No",83,67.80000000000001,43,62.019999999999996,40,77.46,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,"chef","milltary","cop"
"51A615FE","M","HL","School B",2029,"No","No","Yes","No",85,78.44,43,62.019999999999996,42,85.58,5,4,5,4,5,3,5,4,3,1,4,4,5,5,4,3,5,4,5,3,4,"cool","mid","t"
"45514A74","F","WH","School A",2029,"No","No","Yes","No",65,9.87,38,24.45,27,2.98,4,2,3,4,4,4,4,4,3,2,4,3,4,3,3,2,2,2,2,4,2,"I'm unsure","I don't know","I don't know"
"F63731EC","F","WH","School C",2030,"No","No","Yes","No",103,98.19,53,97.61,50,100,5,5,5,5,5,5,5,5,5,5,3,5,5,5,5,5,5,5,5,5,5,"pro soccer player","marine biogist","CIA"
"323BEDBC","F","WH","School E",2029,"No","No","No","No",77,43.53,42,53.55,35,36.480000000000004,4,3,4,4,4,4,4,4,4,3,4,4,4,4,4,4,2,3,3,3,4,"photoaghape","Actresss","Model"
"0492CF3D","F","MR","School F",2029,"No","No","No","No",71,21.21,36,14.82,35,36.480000000000004,4,3,3,3,4,3,3,4,3,3,3,4,4,4,4,4,3,3,3,3,3,"idk","idk","idk"
"9F3B70CD","M","HL","School B",2029,"No","Yes","No","Yes",62,5.08,32,4.78,30,12.07,3,3,3,3,3,2,3,3,3,3,3,3,3,3,4,4,2,1,4,2,4,"Lawyer","Barber","?"
"C3D74032","M","WH","School E",2030,"No","No","Yes","No",68,14.26,37,18.72,31,16.02,3,3,4,2,3,4,3,4,4,4,3,3,4,4,3,4,2,2,3,2,4,"plumbing","electrician","HVAC"
"A0A89817","M","AS","School E",2029,"No","Yes","No","No",76,38.87,42,53.55,34,30.03,4,4,3,4,4,4,4,4,3,4,4,3,4,3,4,4,3,3,2,4,4,"computer programmer","Software developer","Mathmatician"
"5086A5CA","M","WH","School E",2030,"No","No","Yes","Yes",101,97.36,51,94.67,50,100,3,5,5,5,5,5,5,5,5,5,3,5,5,5,5,5,5,5,5,5,5,"kind helpful","Computer technolgy","Air force"
"9FE4375B","M","HL","School F",2029,"No","Yes","Yes","No",98,95.97,53,97.61,45,93.13,5,5,5,3,5,5,5,5,5,5,5,5,5,4,5,5,4,3,4,5,5,"Fashion designer","Actor","Baker"
"ED1EDDDE","M","HL","School F",2029,"Yes","Yes","Yes","No",85,78.44,43,62.019999999999996,42,85.58,4,3,3,3,5,4,4,5,3,5,4,3,5,5,4,3,5,5,3,5,4,"firefighter","builder","recycle worker"
"A4CC78D4","F","WH","School E",2029,"No","No","Yes","No",84,74.83,44,72.13000000000001,40,77.46,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,"a horse back rider","a casher at a gas staition","nothing"
"54F0E901","M","WH","School F",2030,"No","No","No","No",95,93.60000000000001,53,97.61,42,85.58,5,5,5,5,5,5,3,5,5,5,5,3,5,3,3,5,5,5,3,5,5,"Historian","Archeologist","Researcher"
"07F58221","F","WH","School E",2029,"No","No","No","No",79,52.35999999999999,42,53.55,37,51.800000000000004,4,3,4,4,4,4,4,4,4,4,3,4,4,4,4,4,4,3,2,4,4,"designer","clothing designer","physical therapist"
"5EA76050","F","HL","School B",2030,"No","Yes","Yes","Yes",80,56.54,40,36.95,40,77.46,4,3,4,3,3,5,3,4,4,3,4,4,4,4,4,4,4,4,4,4,4,"nurse","doctor","police"
"7D5778DF","F","HL","School D",2030,"No","Yes","No","No",71,21.21,38,24.45,33,24.62,3,4,4,3,4,4,4,4,2,3,3,3,3,4,3,4,2,3,4,4,3,"vid","working in the restaurant","idk"
"35991E54","F","BL","School C",2030,"No","No","Yes","No",105,100,55,100,50,100,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,"vet","nurse","docter"
"49A05B69","M","WH","School D",2029,"No","No","Yes","No",92,89.5,47,85.66,45,93.13,4,5,4,3,4,5,4,5,5,3,5,5,4,5,4,5,4,5,4,5,4,"UVA Basketball player or Play basketball somewhere.","Businessmen.","Doctor."
"3AFD5BD9","F","WH","School C",2030,"No","No","Yes","No",74,30.53,41,45.56,33,24.62,5,3,4,4,3,4,5,4,3,4,2,4,4,5,4,4,1,1,1,5,4,"I dont know","Still dont know","I DONT KNOW"
"09F26137","M","BL","School E",2030,"No","No","No","No",77,43.53,41,45.56,36,45.01,4,4,4,4,1,4,4,4,4,4,4,3,5,3,4,4,3,3,3,4,4,"engineer,nba and nfl player","engineer","nba player"
"B8BE008A","M","BL","School D",2029,"No","No","Yes","No",62,5.08,34,9.84,28,4.2299999999999995,3,4,1,5,2,4,3,1,5,1,5,5,3,1,2,5,2,1,3,1,5,"no","no","no"
"0723E565","F","WH","School F",2029,"No","No","No","No",81,60.150000000000006,43,62.019999999999996,38,59.08,4,4,4,4,4,4,3,4,4,4,4,3,4,4,4,4,4,4,3,4,4,"A vet","A swat officer","i can do the firs one nit the 2"
"D0BE3604","F","WH","School E",2030,"No","No","Yes","No",77,43.53,36,14.82,41,81.97,3,2,4,5,2,5,1,3,4,3,4,5,3,4,5,4,3,4,5,3,5,"idk","idk",
"103BC2F4","M","BL","School B",2030,"No","No","Yes","Yes",94,92.07,50,92.75999999999999,44,90.64,4,4,4,4,5,4,5,5,5,5,5,4,5,5,5,5,3,5,3,5,4,"Im gonna get all my degrees for engineering but my real dream is to To be in the NBA or The NFL but if that doesnt work out im gonna Already have my degrees so I can do Engineering","Engineering","Doctor"
"C99F18CD","M","WH","School F",2029,"No","No","Yes","No",69,15.790000000000001,38,24.45,31,16.02,4,4,4,3,3,3,3,5,3,3,3,3,4,3,3,3,2,2,3,4,4,"game concept","youtuber and gamer","coder"
"DE3F48BD","F","HL","School B",2029,"No","Yes","No","Yes",,,43,62.019999999999996,,,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,,,,,,,,,
"2690DF92","M","WH","School F",2029,"No","No","Yes","No",71,21.21,38,24.45,33,24.62,4,1,4,4,3,4,3,4,4,3,4,4,4,4,3,3,3,3,3,3,3,"welding","Firefighter","Heting&air"
